ts,bucket_id,side,setup,legsA,legsB,outcome,joint
1782868864.323,15765,long,B,0001100,111,TP,UP-resolve
1782869003.026,15783,long,B,0101100,111,SL,WHIPSAW
1782869163.481,15793,short,B,0000000,111,SL,UP-resolve
1782869985.186,15885,long,B,0000100,111,SL,WHIPSAW
1782869985.186,15886,long,B,0000100,111,SL,WHIPSAW
1782870075.013,15917,long,B,0001100,111,SL,DOWN-resolve
1782871047.037,15993,long,B,0001100,111,SL,WHIPSAW
1782872235.055,16040,long,B,1001100,111,TP,UP-resolve
1782873492.49,16143,long,B,0001100,111,SL,DOWN-resolve
1782873633.863,16163,long,B,0001000,111,SL,DOWN-resolve
1782874098.654,16201,short,B,0000000,111,TP,DOWN-resolve
1782874122.235,16202,short,B,0000000,111,TP,DOWN-resolve
1782874939.528,16237,short,B,0101100,111,SL,WHIPSAW
1782874978.111,16238,short,B,0101100,111,SL,WHIPSAW
1782875539.97,16254,long,B,0001000,111,SL,WHIPSAW
1782875880.593,16262,short,B,0001100,111,SL,UP-resolve
1782875999.093,16265,short,B,0100100,111,SL,UP-resolve
1782877148.559,16306,long,B,0101100,111,TP,UP-resolve
1782877151.989,16307,long,B,0101100,111,SL,WHIPSAW
1782877521.452,16319,short,B,0000000,111,SL,UP-resolve
1782878119.252,16371,long,B,0001100,111,SL,DOWN-resolve
1782878152.848,16374,long,B,0001000,111,SL,WHIPSAW
1782878194.32,16375,long,B,0001000,111,SL,WHIPSAW
1782879062.916,16408,long,B,0001100,111,SL,WHIPSAW
1782879062.935,16409,long,B,0001110,111,SL,WHIPSAW
1782880350.402,16440,long,B,0001110,111,SL,DOWN-resolve
1782881186.684,16457,long,B,0001100,111,SL,DOWN-resolve
1782887751.181,16589,short,B,0001010,111,TP,DOWN-resolve
1782887751.372,16594,short,B,0001110,111,TP,DOWN-resolve
1782887869.859,16614,short,B,0000010,111,SL,UP-resolve
1782896463.327,16818,long,B,0001100,111,TP,UP-resolve
1782896491.523,16819,long,B,0001000,111,TP,UP-resolve
1782896514.532,16820,long,B,0001000,111,TP,UP-resolve
1782899953.144,16898,long,B,0001110,111,SL,DOWN-resolve
1782903692.946,16974,short,B,0000110,111,SL,UP-resolve
1782904681.645,17003,long,B,0101100,111,SL,DOWN-resolve
1782904942.399,17008,long,B,0101100,111,SL,DOWN-resolve
1782907800.165,17064,short,B,0001100,111,TP,DOWN-resolve
1782908073.074,17079,short,B,0001010,111,SL,UP-resolve
1782911130.972,17155,long,B,0101100,111,TP,UP-resolve
1782911173.549,17156,long,B,0101100,111,TP,UP-resolve
1782912662.675,17227,short,B,0001100,111,SL,UP-resolve
1782912662.675,17228,short,B,0101110,111,SL,UP-resolve
1782912663.002,17229,short,B,0100110,111,SL,UP-resolve
1782913057.981,17267,long,B,0001000,111,SL,WHIPSAW
1782915067.557,17404,long,B,0001110,111,TP,UP-resolve
1782915426.311,17444,long,B,0001100,111,TP,UP-resolve
1782916560.267,17532,short,B,0000100,111,SL,UP-resolve
1782917276.374,17558,short,B,0000010,111,SL,UP-resolve
1782917299.054,17559,short,B,0000000,111,SL,UP-resolve
1782917338.63,17560,short,B,0000000,111,SL,WHIPSAW
1782917370.256,17562,short,B,0000000,111,SL,WHIPSAW
1782917417.316,17563,short,B,0000000,111,SL,UP-resolve
1782918427.565,17592,long,B,0001110,111,SL,DOWN-resolve
1782919404.554,17625,long,B,0001110,111,SL,DOWN-resolve
1782923288.644,17706,long,B,0001110,111,SL,DOWN-resolve
1782925182.092,17738,short,B,0100110,111,SL,WHIPSAW
1782925268.67,17739,short,B,0100110,111,SL,WHIPSAW
1782926624.154,17759,long,B,0001110,111,SL,WHIPSAW
1782927065.301,17768,long,B,0101110,111,SL,DOWN-resolve
1782934188.13,17843,short,B,0001110,111,TP,DOWN-resolve
1782938431.234,17942,long,B,0000110,111,TP,UP-resolve
1782938436.857,17943,long,B,0000110,111,SL,WHIPSAW
1782938512.661,17951,long,B,0001100,111,TP,UP-resolve
1782939200.122,17962,long,B,0000000,111,TP,UP-resolve
1782939772.956,17974,long,B,0001010,111,TP,UP-resolve
1782940136.805,17991,long,B,0001110,111,SL,WHIPSAW
1782940251.555,17994,long,B,0001110,111,TP,UP-resolve
1782940532.527,18003,long,B,0001100,111,TP,UP-resolve
1782941646.234,18025,long,B,0001110,111,TP,UP-resolve
1782941760.885,18042,long,B,0000100,111,TP,UP-resolve
1782942929.802,18072,long,B,0001110,111,SL,WHIPSAW
1782942949.278,18073,long,B,0001110,111,SL,WHIPSAW
1782944788.482,18102,long,B,0001100,111,SL,DOWN-resolve
1782947042.324,18171,short,B,0000000,111,TP,DOWN-resolve
1782947734.365,18188,short,B,0001110,111,SL,UP-resolve
1782949863.144,18263,short,B,0001010,111,TP,DOWN-resolve
1782954939.615,18356,long,B,0000100,111,TP,UP-resolve
1782955120.53,18360,long,B,0001100,111,TP,UP-resolve
1782955440.129,18366,long,B,0001100,111,TP,UP-resolve
1782955819.426,18371,long,B,0001100,111,TP,UP-resolve
1782956070.224,18385,long,B,0001110,111,TP,UP-resolve
1782956370.081,18392,long,B,0001000,111,SL,WHIPSAW
1782956553.126,18403,long,B,0001100,111,SL,DOWN-resolve
1782956591.916,18404,long,B,0001000,111,SL,DOWN-resolve
1782956623.937,18405,long,B,0001000,111,SL,DOWN-resolve
1782957330.506,18419,short,B,0100100,111,SL,UP-resolve
1782958498.761,18437,short,B,0001100,111,SL,UP-resolve
1782958591.4,18439,short,B,0001100,111,SL,UP-resolve
1782958661.714,18440,short,B,0001000,111,SL,UP-resolve
1782958783.5,18441,short,B,0001000,111,SL,UP-resolve
1782962466.781,18496,short,B,0001110,111,SL,UP-resolve
1782962922.845,18524,long,B,0100100,111,SL,WHIPSAW
1782963068.299,18529,long,B,0001100,111,TP,UP-resolve
1782963102.26,18530,long,B,0001100,111,TP,UP-resolve
1782965517.274,18604,short,B,0001100,111,TP,DOWN-resolve
1782970962.108,18687,short,B,0100100,111,SL,UP-resolve
1782971051.151,18691,short,B,0100110,111,SL,UP-resolve
1782972316.801,18711,long,B,0001000,111,TP,UP-resolve
1782973529.098,18744,long,B,0001100,111,SL,WHIPSAW
1782974890.836,18778,short,B,0000110,111,SL,WHIPSAW
1782978459.548,18861,long,B,0001100,111,TP,UP-resolve
1782979708.803,18886,long,B,0001110,111,TP,UP-resolve
1782981597.241,18920,long,B,0001000,111,TP,UP-resolve
1782984647.198,18983,long,B,0001100,111,TP,UP-resolve
1782984661.754,18984,long,B,0001100,111,TP,UP-resolve
1782984704.372,19007,long,B,0000100,111,TP,UP-resolve
1782984704.4,19008,long,B,0000110,111,SL,WHIPSAW
1782985423.428,19112,long,B,0001100,111,SL,WHIPSAW
1782985423.896,19113,long,B,0001100,111,SL,WHIPSAW
1782985609.977,19132,short,B,0001000,111,SL,UP-resolve
1782986101.099,19161,long,B,0001100,111,TP,UP-resolve
1782986830.35,19194,long,B,0001110,111,SL,WHIPSAW
1782986857.845,19195,long,B,0001110,111,SL,WHIPSAW
1782987980.781,19302,long,B,0001110,111,SL,DOWN-resolve
1782988549.579,19360,long,B,0001110,111,TP,UP-resolve
1782988963.027,19423,long,B,0000110,111,SL,WHIPSAW
1782989819.192,19552,short,B,0000000,111,SL,UP-resolve
