# SEL-k=100 full re-derivation (discovery-only fit). C@k = context over k-1 priors (registry-literal only at k=16). W-STAT excl = post-audit flag set. HOLDOUT numbers elsewhere are comparison material — 15 extra trials of selection bias; forward data is the only judge.
variant,direction,rank,feature_code,flag,weight,cumulative_weight,raw_strength,deduped_aliases
W-STAT,short,52,E19.01,,0.0080,0.8358,1.6947,
W-STAT,short,53,E18.01,,0.0077,0.8436,1.6357,
W-STAT,short,54,E21.01,,0.0077,0.8513,1.6341,
W-STAT,short,55,B-P1.01,,0.0074,0.8587,1.5768,
W-STAT,short,56,B-P1.02,,0.0074,0.8662,1.5768,
W-STAT,short,57,B-P1.09,,0.0074,0.8735,1.5604,
W-STAT,short,58,C.08,,0.0073,0.8808,1.5428,
W-STAT,short,59,G03.1,,0.0072,0.8880,1.5257,
W-STAT,short,60,B-P3.01,,0.0070,0.8950,1.4884,
W-STAT,short,61,B-P3.02,,0.0070,0.9021,1.4884,
W-STAT,short,62,B-P3.04,,0.0070,0.9090,1.4727,
W-STAT,short,63,B-P3.07,,0.0067,0.9157,1.4138,
W-STAT,short,64,E22.01,,0.0065,0.9221,1.3705,
W-STAT,short,65,B-P2.04,,0.0060,0.9281,1.2629,
W-STAT,short,66,B-P2.09,,0.0056,0.9337,1.1873,
W-STAT,short,67,G06.1,,0.0054,0.9391,1.1495,
W-STAT,short,68,B-P2.11,,0.0053,0.9444,1.1271,
W-STAT,short,69,E17.01,,0.0051,0.9495,1.0757,
W-STAT,short,70,E24.01,,0.0049,0.9545,1.0463,
W-STAT,short,71,E16.01,,0.0047,0.9592,0.9952,
W-STAT,short,72,B-P3.10,,0.0046,0.9637,0.9657,
W-STAT,short,73,E13.01,,0.0043,0.9680,0.9068,
W-STAT,short,74,E15.01,,0.0042,0.9722,0.8989,
W-STAT,short,75,E07.01,,0.0038,0.9760,0.8050,
W-STAT,short,76,E14.01,,0.0038,0.9798,0.8035,
W-STAT,short,77,B-P2.03,,0.0037,0.9835,0.7771,
W-STAT,short,78,B-P3.03,,0.0036,0.9871,0.7634,
W-STAT,short,79,E23.01,,0.0025,0.9896,0.5236,
W-STAT,short,80,E10.01,,0.0023,0.9919,0.4853,
W-STAT,short,81,B-P1.11,,0.0020,0.9939,0.4313,
W-STAT,short,82,B-P1.04,,0.0020,0.9959,0.4313,
W-STAT,short,83,G04.1,,0.0020,0.9980,0.4313,
W-STAT,short,84,B-P4.02,,0.0020,1.0000,0.4313,
