rank,feature,family,approx,kind,n_cats,n_resolved,coverage,top_bin,n_top,tpr_top,bot_bin,n_bot,tpr_bot,effect,ci_lo,ci_hi,eff_blocks,whipf_top,whipf_bot,baseline,note
161,E56.06,E,,num,4,6645,96.739,Q4,1651,35.978,Q1,1664,33.954,2.024,-1.120,5.944,23,23.380,23.077,35.682,
162,E17.08,E,,num,4,6869,100.000,Q4,1717,37.216,Q1,1718,35.215,2.001,0.049,3.957,23,21.957,23.050,35.682,
163,E55.09,E,,num,4,6644,96.724,Q4,1647,35.398,Q1,1677,37.388,-1.991,-11.457,9.267,23,26.230,28.205,35.682,
164,E23.09,E,,num,4,6866,99.956,Q4,1717,36.634,Q1,1717,34.653,1.980,-2.568,6.012,23,24.228,24.054,35.682,
165,E47.06,E,,num,4,6866,99.956,Q4,1717,33.139,Q1,1717,35.119,-1.980,-11.826,9.975,22,22.772,25.044,35.682,
166,B-P3.03,B-,,num,4,6869,100.000,Q4,1717,35.352,Q1,1718,37.311,-1.958,-8.957,4.849,23,25.044,23.690,35.682,
167,E07.01,E,,num,4,6834,99.490,Q4,1703,34.645,Q1,1711,36.587,-1.942,-5.245,1.519,23,25.015,24.664,35.682,
168,G02.1,G,,num,4,6834,99.490,Q4,1703,34.645,Q1,1711,36.587,-1.942,-5.245,1.519,23,25.015,24.664,35.682,
169,E48.10,E,,num,2,6869,100.000,Q2,972,37.346,Q1,5897,35.408,1.938,-4.153,8.948,23,22.119,24.589,35.682,
170,E36.03,E,,num,4,6855,99.796,Q4,1714,35.414,Q1,1714,37.340,-1.925,-5.617,1.269,23,24.504,24.096,35.682,
171,E13.10,E,,num,4,6869,100.000,Q4,1717,35.294,Q1,1718,37.194,-1.900,-4.700,1.087,23,23.005,24.272,35.682,
172,G03.1,G,,num,4,6869,100.000,Q4,1717,37.100,Q1,1718,35.215,1.884,-2.242,5.853,23,25.277,22.817,35.682,
173,E10.04,E,,num,4,6610,96.229,Q4,1653,34.301,Q1,1653,36.177,-1.875,-4.433,1.044,23,23.714,24.319,35.682,
174,E16.01,E,,num,3,6869,100.000,Q3,1717,37.682,Q1,3435,35.808,1.874,-3.268,7.209,23,23.704,24.571,35.682,
